         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      855    0.002    0.000    0.022    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\functional.py:2080(silu)
      146    0.002    0.000    0.003    0.000 C:\Users\ASUS\.conda\envs\env\lib\enum.py:221(<setcomp>)
     2160    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1000    0.002    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:612(_is_type)
      140    0.002    0.000    1.406    0.010 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\base.py:69(grab)
      280    0.002    0.000    0.027    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_tensor.py:986(__format__)
      285    0.002    0.000    0.010    0.000 C:\Users\ASUS\.conda\envs\env\lib\pathlib.py:1079(__new__)
     3436    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
       12    0.002    0.000    0.002    0.000 {built-in method torch.arange}
      422    0.002    0.000    0.008    0.000 C:\Users\ASUS\.conda\envs\env\lib\pathlib.py:736(_make_child)
      855    0.002    0.000    0.024    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\activation.py:395(forward)
     1153    0.002    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\enum.py:462(__setattr__)
     4320    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     6087    0.002    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:703(<genexpr>)
     2108    0.002    0.000    0.003    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:655(getfile)
       78    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      155    0.002    0.000    0.002    0.000 {built-in method torch.split_with_sizes}
       14    0.002    0.000    0.075    0.005 C:\Users\ASUS\Desktop\MTG_Computer_Vision_Bot\YoloInference.py:392(process_handler)
     2011    0.002    0.000    0.002    0.000 {built-in method nt.getcwd}
       22    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      726    0.001    0.000    0.001    0.000 C:\Users\ASUS\.conda\envs\env\lib\pathlib.py:155(splitroot)
      167    0.001    0.000    0.030    0.000 C:\Users\ASUS\.conda\envs\env\lib\dataclasses.py:489(_init_fn)
